DATE,TOTAL,TIME,PM2.5,SO2_TIME,Location,YEAR,SO2
2021-07-01,2,2021-07-01 00:00:00,1.89987305e-08,2021-07-01 00:00:00,STATION 2 FMC IDO,2021,
2021-08-01,1,2021-08-01 00:00:00,1.2902859e-08,2021-08-01 00:00:00,STATION 2 FMC IDO,2021,
2021-09-01,4,2021-09-01 00:00:00,2.3086958e-08,2021-09-01 00:00:00,STATION 2 FMC IDO,2021,
2021-10-01,30,2021-10-01 00:00:00,3.14431705e-08,2021-10-01 00:00:00,STATION 2 FMC IDO,2021,
2021-11-01,42,2021-11-01 00:00:00,4.17990293e-08,2021-11-01 00:00:00,STATION 2 FMC IDO,2021,
2021-12-01,44,2021-12-01 00:00:00,1.44052957e-07,2021-12-01 00:00:00,STATION 2 FMC IDO,2021,
2022-01-01,28,2022-01-01 00:00:00,1.2776805e-07,2022-01-01 00:00:00,STATION 2 FMC IDO,2022,
2022-02-01,21,2022-02-01 00:00:00,1.4832239e-07,2022-02-01 00:00:00,STATION 2 FMC IDO,2022,
2022-03-01,19,2022-03-01 00:00:00,1.01581926e-07,2022-03-01 00:00:00,STATION 2 FMC IDO,2022,
2022-04-01,3,2022-04-01 00:00:00,4.43981184e-08,2022-04-01 00:00:00,STATION 2 FMC IDO,2022,
2022-05-01,2,2022-05-01 00:00:00,3.94236796e-08,2022-05-01 00:00:00,STATION 2 FMC IDO,2022,
2022-06-01,5,2022-06-01 00:00:00,2.48360838e-08,2022-06-01 00:00:00,STATION 2 FMC IDO,2022,
2022-07-01,2,2022-07-01 00:00:00,1.82806096e-08,2022-07-01 00:00:00,STATION 2 FMC IDO,2022,
2022-08-01,1,2022-08-01 00:00:00,1.22997247e-08,2022-08-01 00:00:00,STATION 2 FMC IDO,2022,
2022-09-01,4,2022-09-01 00:00:00,1.42718524e-08,2022-09-01 00:00:00,STATION 2 FMC IDO,2022,
2022-10-01,30,2022-10-01 00:00:00,4.54063023e-08,2022-10-01 00:00:00,STATION 2 FMC IDO,2022,
2022-11-01,42,2022-11-01 00:00:00,5.64088867e-08,2022-11-01 00:00:00,STATION 2 FMC IDO,2022,
2022-12-01,44,2022-12-01 00:00:00,7.83633276e-08,2022-12-01 00:00:00,STATION 2 FMC IDO,2022,
2018-01-01,9,2018-01-01 00:00:00,1.61680176e-07,2018-01-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2018,
2018-02-01,12,2018-02-01 00:00:00,8.26049696e-08,2018-02-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2018,
2018-03-01,9,2018-03-01 00:00:00,5.15410611e-08,2018-03-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2018,
2018-04-01,2,2018-04-01 00:00:00,5.45453688e-08,2018-04-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2018,
